Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,47,4,2,3,6347.0,1594,0.896,1771,37,0.762,0.251
Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44,5,1,1,3449.0,1598,0.971,1679,42,0.556,0.463
Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,34,2,1,2,6028.0,799,0.819,1002,22,0.571,0.133
Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,36,3,2,3,18214.0,1998,0.829,1344,21,1.1,0.11
Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,52,1,3,2,1438.3,900,0.743,760,21,0.615,0.626
Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,35,3,2,2,10514.0,1580,0.504,1229,27,0.8,0.15
Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,43,2,4,3,1438.3,0,0.707,886,27,0.421,0.0
Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46,3,3,3,1438.3,0,0.688,844,24,0.5,0.0
Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36,4,1,2,2377.0,1649,0.93,1378,26,1.167,0.694
Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,47,5,3,3,11086.0,2207,0.869,1523,40,1.105,0.199
Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,36,4,2,2,11432.0,2517,0.615,1374,37,0.762,0.22
Existing Customer,48,M,2,College,Single,Less than $40K,Blue,36,3,2,3,2571.0,1955,0.531,1234,24,0.714,0.76
Existing Customer,44,M,4,Unknown,Married,$60K - $80K,Blue,30,5,1,2,7872.0,2509,0.971,1155,32,0.882,0.319
Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue,39,6,2,3,2115.0,1141,0.616,1223,20,0.538,0.539
Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,27,5,2,2,1438.3,679,0.859,1117,29,1.071,0.472
Existing Customer,45,M,3,College,Single,$60K - $80K,Blue,32,4,1,2,1438.3,0,0.81,1468,26,0.625,0.0
Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver,34,6,4,2,13878.0,2222,0.853,1658,38,0.357,0.16
Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,36,3,1,3,3106.0,1304,0.604,1368,38,0.407,0.42
Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue,50,4,4,3,1438.3,1025,0.838,702,12,0.714,0.713
Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,29,5,2,2,5207.0,1748,1.073,1310,26,1.0,0.336
Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36,6,2,2,17965.0,1644,0.921,1767,50,0.923,0.092
Existing Customer,43,M,1,College,Single,$60K - $80K,Blue,37,6,3,3,2733.0,1819,0.767,933,25,0.923,0.666
Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,36,2,3,3,1857.0,1833,0.723,829,17,0.7,0.987
Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,30,5,3,3,11107.0,1222,0.538,1506,33,0.941,0.11
Attrited Customer,53,F,2,Unknown,Married,Less than $40K,Blue,33,2,3,3,2859.0,2517,0.993,817,30,0.667,0.88
Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue,36,4,2,2,5269.0,1475,1.148,2094,25,0.667,0.28
Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue,45,2,2,3,1438.3,0,0.734,815,21,0.615,0.0
Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,36,1,3,2,3387.0,0,0.789,510,24,0.6,0.0
Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,46,6,2,3,1982.0,1289,0.939,1377,49,0.69,0.65
Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue,43,2,2,2,4645.0,1650,0.912,1193,33,0.65,0.355
Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue,36,6,3,2,2189.0,1666,0.343,1287,36,0.636,0.761
Attrited Customer,46,M,4,High School,Married,$120K +,Blue,30,3,3,3,2442.0,0,0.98,701,19,0.727,0.0
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,38,4,1,2,21304.0,1532,1.018,1770,25,0.923,0.072
Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,31,4,1,2,3234.0,1486,0.868,1354,28,0.647,0.459
Existing Customer,56,M,3,Unknown,Unknown,$40K - $60K,Blue,46,6,3,4,2910.0,709,0.538,1192,27,0.588,0.244
Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,48,2,4,3,3616.0,1054,0.616,687,17,0.545,0.291
Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,39,4,2,2,3133.0,1510,0.609,1435,38,0.462,0.482
Existing Customer,40,M,1,Graduate,Married,$40K - $60K,Blue,23,6,3,2,6990.0,1378,0.73,1479,29,0.611,0.197
Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,40,1,4,1,1438.3,0,1.038,689,23,0.353,0.0
Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,46,5,2,2,5207.0,1650,0.708,1339,20,0.538,0.317
Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,53,1,3,3,3353.0,0,1.021,960,18,0.385,0.0
Existing Customer,48,M,3,Unknown,Single,$40K - $60K,Blue,43,6,1,3,5279.0,1115,0.549,1642,41,0.519,0.211
Existing Customer,57,M,0,Uneducated,Married,$40K - $60K,Blue,45,6,2,2,2601.0,0,0.814,1232,32,0.684,0.0
Existing Customer,41,M,3,High School,Single,$80K - $120K,Blue,36,4,3,3,8029.0,1576,0.826,1094,32,0.524,0.196
Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,31,2,2,2,2410.0,1769,0.759,1217,30,1.143,0.734
Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue,36,1,1,2,3401.0,0,0.898,744,18,1.0,0.0
Existing Customer,48,F,4,High School,Married,$40K - $60K,Blue,42,3,1,3,4206.0,1100,0.587,1144,22,1.0,0.262
Attrited Customer,54,F,2,High School,Married,Unknown,Blue,44,3,3,1,6094.0,0,1.129,909,14,0.273,0.0
Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue,36,6,3,2,3342.0,2517,0.771,1139,30,0.765,0.753
Attrited Customer,54,F,4,Graduate,Married,Unknown,Blue,40,6,2,2,2532.0,2221,0.491,799,21,0.235,0.877
Existing Customer,54,F,3,Doctorate,Married,Unknown,Blue,46,2,2,3,1900.0,1376,0.89,1881,45,0.607,0.724
Existing Customer,44,M,3,Graduate,Single,$60K - $80K,Blue,37,2,3,2,14546.0,1703,0.955,1273,27,0.588,0.117
Existing Customer,50,F,4,Doctorate,Single,Unknown,Blue,36,2,3,2,2521.0,1608,0.587,1328,33,0.571,0.638
Existing Customer,55,M,2,Doctorate,Married,$60K - $80K,Blue,36,3,4,3,16427.0,1682,0.631,1579,36,1.118,0.102
Existing Customer,48,M,2,Graduate,Unknown,$40K - $60K,Blue,36,5,1,2,13068.0,1718,0.607,937,28,0.556,0.131
Existing Customer,55,M,2,High School,Married,$40K - $60K,Blue,47,5,3,2,3096.0,2217,0.799,2011,41,0.783,0.716
Existing Customer,62,F,0,High School,Married,$40K - $60K,Blue,52,5,2,3,2052.0,1250,0.728,1208,31,0.632,0.609
Existing Customer,46,M,3,High School,Single,$40K - $60K,Blue,39,2,3,2,9432.0,1418,0.612,1319,26,0.368,0.15
Existing Customer,35,M,3,Uneducated,Married,$60K - $80K,Blue,22,5,2,2,6985.0,1130,0.963,1694,44,0.76,0.162
Existing Customer,36,F,3,High School,Married,Unknown,Blue,24,4,1,1,15439.0,0,0.742,2069,43,0.536,0.0
Existing Customer,47,M,4,Graduate,Single,$80K - $120K,Blue,36,6,3,2,21637.0,2030,0.776,1222,23,0.438,0.094
Existing Customer,52,M,2,Graduate,Single,$120K +,Blue,37,2,3,2,14543.0,0,0.788,1536,37,0.423,0.0
Existing Customer,63,M,2,High School,Married,$40K - $60K,Blue,36,2,2,2,5007.0,930,0.885,1050,28,1.154,0.186
Existing Customer,53,M,2,Uneducated,Single,$60K - $80K,Blue,40,5,2,2,19116.0,0,0.656,1184,29,0.611,0.0
Attrited Customer,57,M,3,Graduate,Married,$120K +,Blue,38,2,3,3,8249.0,1381,0.798,678,11,0.833,0.167
Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,43,5,3,2,5264.0,2169,0.374,1219,27,0.5,0.412
Existing Customer,34,M,3,High School,Married,$60K - $80K,Blue,26,4,3,3,3265.0,2517,0.952,1843,35,0.944,0.771
Existing Customer,56,M,1,Uneducated,Married,$120K +,Blue,36,3,2,2,6041.0,1355,0.685,1747,49,0.581,0.224
Existing Customer,47,M,3,Post-Graduate,Unknown,$80K - $120K,Blue,36,6,2,2,13399.0,2505,0.627,1326,31,0.824,0.187
Existing Customer,46,F,3,Unknown,Married,Less than $40K,Blue,38,4,3,3,4317.0,2517,0.944,1619,36,1.0,0.583
Existing Customer,50,F,1,Graduate,Single,Less than $40K,Blue,36,4,1,3,5012.0,2242,0.816,1142,28,1.0,0.447
Existing Customer,53,F,1,Graduate,Single,Less than $40K,Blue,45,3,1,2,3471.0,1785,1.051,1052,24,0.714,0.514
Existing Customer,53,M,1,High School,Married,$120K +,Blue,36,6,3,2,3312.0,1844,0.986,1740,32,0.882,0.557
Attrited Customer,54,M,2,Unknown,Married,$40K - $60K,Blue,44,4,3,2,2902.0,2517,0.821,996,26,0.444,0.867
Existing Customer,62,M,1,High School,Married,Less than $40K,Blue,53,5,3,3,2077.0,1571,1.031,1365,38,1.0,0.756
Existing Customer,46,F,4,Graduate,Single,Less than $40K,Blue,40,5,1,2,6265.0,1942,1.027,1715,43,0.87,0.31
Existing Customer,52,M,3,Graduate,Single,$80K - $120K,Blue,42,6,3,3,2731.0,1692,0.62,1220,22,0.692,0.62
Existing Customer,52,M,2,High School,Single,$60K - $80K,Blue,45,5,3,2,7567.0,1173,0.541,1435,32,0.6,0.155
Existing Customer,41,M,5,High School,Married,$60K - $80K,Blue,33,5,3,3,22770.0,2517,0.994,1882,38,0.652,0.111
Existing Customer,40,F,3,High School,Divorced,Less than $40K,Blue,35,3,1,3,2555.0,2117,1.049,1334,32,0.6,0.829
Existing Customer,43,M,3,Graduate,Married,$80K - $120K,Blue,26,5,3,2,2355.0,1090,0.751,1441,29,0.812,0.463
Existing Customer,55,M,1,Uneducated,Single,$40K - $60K,Blue,49,6,3,2,1443.0,1375,0.683,1991,38,0.583,0.953
Existing Customer,49,M,3,Uneducated,Single,$60K - $80K,Blue,32,3,2,2,18584.0,2517,0.703,1330,34,1.125,0.135
Existing Customer,50,F,1,Uneducated,Married,Less than $40K,Blue,43,6,3,4,1438.3,0,1.068,1439,41,1.05,0.0
Existing Customer,50,F,2,Graduate,Married,$40K - $60K,Blue,44,6,2,3,2339.0,1440,0.431,893,22,0.375,0.616
Existing Customer,47,F,2,Graduate,Married,Less than $40K,Blue,36,6,3,2,2726.0,0,0.844,1099,27,0.588,0.0
Existing Customer,43,M,4,Unknown,Married,$120K +,Blue,39,3,3,3,14881.0,848,0.762,1408,23,1.091,0.057
Existing Customer,46,M,2,High School,Married,$120K +,Blue,36,5,3,2,19727.0,1785,0.572,1245,25,0.786,0.09
Existing Customer,52,M,0,Uneducated,Married,$60K - $80K,Blue,36,3,3,2,22720.0,793,0.685,1102,27,0.286,0.035
Existing Customer,49,F,4,Post-Graduate,Single,Unknown,Blue,44,6,3,2,18206.0,1586,0.921,1439,48,1.0,0.087
Existing Customer,49,M,3,Graduate,Married,$40K - $60K,Blue,41,5,3,2,2406.0,1560,0.751,1173,32,0.391,0.648
Existing Customer,40,F,3,High School,Single,Less than $40K,Gold,36,3,2,3,15534.0,726,0.556,1279,28,0.867,0.047
Existing Customer,58,M,2,Uneducated,Unknown,$120K +,Blue,49,6,2,3,9788.0,1794,0.778,1805,37,0.762,0.183
Existing Customer,57,M,2,Graduate,Married,$80K - $120K,Blue,40,3,2,3,12208.0,1980,0.616,1409,34,0.619,0.162
Existing Customer,58,M,1,Graduate,Married,$60K - $80K,Blue,46,3,3,2,10021.0,1617,0.578,1275,25,0.667,0.161
Existing Customer,54,F,2,Graduate,Married,Less than $40K,Blue,44,3,2,3,2027.0,1480,0.979,1702,37,0.947,0.73
Existing Customer,53,M,2,Graduate,Married,$60K - $80K,Blue,47,6,2,2,6363.0,1162,0.644,1256,26,1.0,0.183
Existing Customer,39,F,3,College,Single,Less than $40K,Blue,25,6,1,2,3920.0,2008,0.944,3178,53,0.656,0.512
Existing Customer,54,F,4,Unknown,Divorced,Less than $40K,Blue,49,6,1,1,9376.0,1288,0.597,1562,33,0.5,0.137
Existing Customer,59,F,1,Post-Graduate,Married,$40K - $60K,Blue,46,5,3,3,1944.0,1346,1.052,1960,57,0.727,0.692
Existing Customer,55,M,0,High School,Married,$120K +,Blue,49,5,3,3,3805.0,2233,1.095,1743,27,0.929,0.587
Existing Customer,52,M,1,Uneducated,Single,$80K - $120K,Blue,37,5,2,2,2733.0,1306,0.791,1139,39,0.444,0.478
Existing Customer,46,M,1,Uneducated,Unknown,$40K - $60K,Blue,27,6,3,3,12781.0,1253,0.638,1073,21,0.4,0.098
Attrited Customer,57,M,2,Uneducated,Married,$120K +,Blue,40,3,3,3,3106.0,1120,1.045,683,17,0.7,0.361
Existing Customer,55,F,2,Graduate,Single,Less than $40K,Blue,47,5,3,2,6347.0,0,0.466,1161,44,0.375,0.0
Existing Customer,67,M,1,Uneducated,Married,$40K - $60K,Blue,49,4,3,2,3106.0,1675,0.781,1512,38,0.407,0.539
Existing Customer,55,F,2,Unknown,Married,Less than $40K,Blue,37,3,3,1,2453.0,968,1.081,2218,50,0.613,0.395
Existing Customer,47,M,3,High School,Married,$40K - $60K,Silver,36,3,2,2,16138.0,1249,1.01,1198,33,0.833,0.077
Attrited Customer,42,F,2,Graduate,Married,Less than $40K,Blue,23,3,3,3,1929.0,1673,0.835,857,36,1.118,0.867
Existing Customer,57,M,2,Unknown,Single,$80K - $120K,Blue,36,3,3,2,3127.0,2517,0.589,1470,30,1.143,0.805
Existing Customer,56,M,3,Unknown,Single,$60K - $80K,Blue,49,3,1,3,1438.3,0,0.503,1093,22,0.833,0.0
Attrited Customer,49,F,3,Graduate,Married,Less than $40K,Blue,38,6,3,2,2185.0,0,0.727,715,20,0.818,0.0
Existing Customer,40,M,3,High School,Married,$40K - $60K,Blue,33,4,3,3,6884.0,1001,0.786,975,11,0.833,0.145
Attrited Customer,39,M,2,Uneducated,Single,$60K - $80K,Blue,36,5,3,3,13961.0,1299,0.842,783,20,0.667,0.093
Existing Customer,54,M,3,High School,Married,$120K +,Blue,43,4,1,1,13219.0,0,0.576,1097,24,0.5,0.0
Attrited Customer,58,F,4,Unknown,Married,Less than $40K,Blue,46,2,3,3,2536.0,0,0.917,901,35,0.522,0.0
Existing Customer,46,F,4,Graduate,Divorced,Less than $40K,Blue,36,5,3,1,9478.0,820,0.64,1327,41,0.864,0.087
Existing Customer,55,M,0,High School,Divorced,$60K - $80K,Blue,46,6,1,2,9734.0,0,0.785,1476,38,0.9,0.0
Existing Customer,46,F,2,Graduate,Married,$40K - $60K,Blue,22,6,1,3,2305.0,1627,0.747,1230,36,0.565,0.706
Existing Customer,47,F,4,Uneducated,Married,$40K - $60K,Blue,36,3,1,3,14241.0,2081,0.909,1581,44,0.833,0.146
Existing Customer,36,F,2,Unknown,Married,$40K - $60K,Blue,25,3,1,2,4789.0,1257,1.134,1534,29,0.933,0.262
Existing Customer,57,M,2,Unknown,Single,$80K - $120K,Blue,38,6,1,3,23008.0,2280,0.674,1302,36,0.636,0.099
Existing Customer,58,F,3,Graduate,Married,Less than $40K,Blue,53,5,3,2,5798.0,1794,0.564,1724,45,0.452,0.309
Attrited Customer,52,F,1,Graduate,Single,Less than $40K,Blue,40,1,2,2,2317.0,0,1.005,884,19,0.727,0.0
Attrited Customer,53,F,2,Uneducated,Single,Less than $40K,Blue,45,1,1,1,1981.0,1518,1.019,973,25,0.923,0.766
Existing Customer,56,F,1,Graduate,Single,$40K - $60K,Blue,47,3,2,1,6038.0,0,0.741,1447,30,0.875,0.0
Existing Customer,44,M,5,Unknown,Single,$80K - $120K,Blue,32,5,3,2,14910.0,877,0.772,1150,26,0.625,0.059
Attrited Customer,54,M,2,Graduate,Married,$60K - $80K,Blue,42,3,3,2,4320.0,0,0.967,706,21,0.5,0.0
Existing Customer,39,F,1,Unknown,Single,$40K - $60K,Blue,36,6,1,3,11213.0,0,0.563,1257,23,0.643,0.0
Attrited Customer,53,M,2,Uneducated,Married,$80K - $120K,Blue,36,1,3,3,4503.0,0,0.659,748,20,0.429,0.0
Existing Customer,53,F,1,High School,Married,Less than $40K,Blue,47,6,1,2,3445.0,1074,0.67,1074,31,0.632,0.312
Existing Customer,60,M,1,Graduate,Married,$80K - $120K,Blue,50,6,2,2,23412.0,1078,0.79,1786,50,0.786,0.046
Existing Customer,59,F,0,Graduate,Single,Less than $40K,Blue,46,4,1,2,3044.0,1611,0.74,1456,36,0.714,0.529
Existing Customer,38,M,1,Unknown,Single,$60K - $80K,Blue,29,5,2,1,14596.0,2192,0.898,1300,25,1.083,0.15
Existing Customer,56,M,4,Uneducated,Single,Less than $40K,Blue,36,3,2,2,3864.0,1654,0.491,1470,42,0.235,0.428
Attrited Customer,35,M,3,Post-Graduate,Unknown,$80K - $120K,Blue,29,2,1,3,17030.0,1911,0.528,715,25,0.562,0.112
Attrited Customer,43,F,2,Uneducated,Single,Less than $40K,Blue,24,2,3,2,2962.0,2517,1.046,929,31,0.409,0.85
Existing Customer,61,M,1,Uneducated,Single,$60K - $80K,Blue,46,5,3,2,2201.0,1138,0.675,1199,32,0.6,0.517
